city_income
"Winnetka – $98,139"
"Kenilworth – $97,381"
"Glencoe – $94,900"
"Inverness – $91,623"
"Barrington Hills – $91,555"
"Lake Forest – $86,004"
"Oak Brook – $81,213"
"Athens, Illinois – $17,981"
"Virginia, Illinois – $17,979"
"Newman, Illinois – $17,971"
"Wenona, Illinois – $17,951"
"Rantoul, Illinois – $17,948"
"New Minden, Illinois – $17,942"
"Williamsfield, Illinois – $17,941"
"Marquette Heights, Illinois – $17,935"
"Roberts, Illinois – $17,926"
"Hodgkins, Illinois – $17,920"
"Crainville, Illinois – $17,911"
"Table Grove, Illinois – $17,877"
"Round Lake Heights, Illinois – $17,868"
"Armington, Illinois – $17,866"
"Thomasboro, Illinois – $17,866"
"Symerton, Illinois – $17,863"
"Cambridge, Illinois – $17,842"
"Plano, Illinois – $17,837"
"Momence, Illinois – $17,836"
"Shawneetown, Illinois – $17,834"
"Green Valley, Illinois – $17,830"
"Aroma Park, Illinois – $17,806"
"Belvidere, Illinois – $17,804"
"Marseilles, Illinois – $17,793"
"Hopedale, Illinois – $17,784"
"Schiller Park, Illinois – $17,781"
"Normal, Illinois – $17,775"
"Danforth, Illinois – $17,754"
"Dorchester, Illinois – $17,753"
"Paris, Illinois – $17,750"
"Atkinson, Illinois – $17,732"
"Mendota, Illinois – $17,731"
"Zion, Illinois – $17,730"
"Stockton, Illinois – $17,728"
"Sheffield, Illinois – $17,723"
"Cisco, Illinois – $17,722"
"Forrest, Illinois – $17,707"
"Huey, Illinois – $17,695"
"Sullivan, Illinois – $17,693"
"Granite City, Illinois – $17,691"
"Minonk, Illinois – $17,688"
"Loami, Illinois – $17,661"
"Anchor, Illinois – $17,642"
"New Athens, Illinois – $17,627"
"Tiskilwa, Illinois – $17,625"
"Capron, Illinois – $17,624"
"Washburn, Illinois – $17,619"
"Palmer, Illinois – $17,615"
"Milan, Illinois – $17,608"
"Nora, Illinois – $17,608"
"Shelbyville, Illinois – $17,596"
"Braceville, Illinois – $17,586"
"Deer Creek, Illinois – $17,578"
"Elizabethtown, Illinois – $17,567"
"Franklin Park, Illinois – $17,550"
"Westville, Illinois – $17,538"
"Hanover, Illinois – $17,535"
"Ransom, Illinois – $17,524"
"Lanark, Illinois – $17,518"
"Allerton, Illinois – $17,512"
"Rose Hill, Illinois – $17,510"
"Grandview, Illinois – $17,499"
"Jacksonville, Illinois – $17,482"
"La Rose, Illinois – $17,480"
"Quincy, Illinois – $17,479"
"Hardin, Illinois – $17,461"
"Paw Paw, Illinois – $17,461"
"Hillsboro, Illinois – $17,458"
"Standard, Illinois – $17,453"
"Kappa, Illinois – $17,451"
"Bondville, Illinois – $17,439"
"Coleta, Illinois – $17,439"
"Orangeville, Illinois – $17,437"
"Carpentersville, Illinois – $17,424"
"Grantfork, Illinois – $17,415"
"Mound Station, Illinois – $17,413"
"Alpha, Illinois – $17,407"
"Gilman, Illinois – $17,396"
"Wapella, Illinois – $17,395"
"De Land, Illinois – $17,377"
"Waukegan, Illinois – $17,368"
"Winchester, Illinois – $17,354"
"Loraine, Illinois – $17,333"
"Greenville, Illinois – $17,326"
"Wellington, Illinois – $17,324"
"Posen, Illinois – $17,323"
"Lovington, Illinois – $17,311"
"Crescent City, Illinois – $17,308"
"Hamburg, Illinois – $17,290"
"Alto Pass, Illinois – $17,288"
"Stronghurst, Illinois – $17,269"
"Colona, Illinois – $17,265"
"Bushnell, Illinois – $17,263"
"Arrowsmith, Illinois – $17,261"
"Thomson, Illinois – $17,261"
"Fairmont, Illinois – $17,260"
"Harvard, Illinois – $17,253"
"Elizabeth, Illinois – $17,235"
"Biggsville, Illinois – $17,215"
"Galesburg, Illinois – $17,214"
"Cullom, Illinois – $17,207"
"Lincoln, Illinois – $17,207"
"Rio, Illinois – $17,181"
"Woodson, Illinois – $17,175"
"Centralia, Illinois – $17,174"
"Mount Olive, Illinois – $17,172"
"Galva, Illinois – $17,165"
"Byron, Illinois – $17,164"
"Leland, Illinois – $17,142"
"Lebanon, Illinois – $17,125"
"Henderson, Illinois – $17,114"
"Stonington, Illinois – $17,094"
"Emden, Illinois – $17,082"
"Farina, Illinois – $17,068"
"Alexis, Illinois – $17,059"
"Hartsburg, Illinois – $17,057"
"Beckemeyer, Illinois – $17,039"
"Redmon, Illinois – $17,020"
"Canton, Illinois – $17,012"
"Campbell Hill, Illinois – $17,009"
"La Moille, Illinois – $17,008"
"Kell, Illinois – $17,002"
"Carbon Cliff, Illinois – $16,998"
